# Per-civilization tech-tree denial (spec paragraph 11.1). One row per civ; semicolon ids over one tech/unit/building namespace.
# SOURCED v0.3.139: every row audited against the current-DE tech-tree dataset (SiegeEngineers/aoe2techtree data.json, fetched 2026-08-27,
# generated from the game files; unit lines matched by display name so regional variant ids resolve; upgrades ride their unit's availability).
# Roster-judgment exceptions to that dataset, kept deliberately because our roster lacks the modern replacement content:
#   - Persians keep the paladin line (current DE replaced it with the Savar, which we do not model).
#   - Incas keep the eagle and militia lines (current DE replaced them with the Champi Warrior line, which we do not model), and mill
#     is not denied (their dataset entry lists a variant food building, not a missing Mill).
#   - tracking and cartography are absent from current DE for every civ (removed/free) - a game-wide modeling question, not a civ hole.
civilization, denied
# Tech-tree holes per civilization (v0.3.138): semicolon-separated ids of
# technologies AND units this civilization can never research or train —
# AoE2 DE's defining per-civ gaps, restricted to content this game models.
# Absent civilization = full tree. Authored from DE tech trees; uncertain
# holes are OMITTED (allowed) rather than guessed. One namespace: tech ids
# and unit ids never collide.
Aztecs, architecture;bloodlines;bombard-cannon;bombard-tower;bombard-tower-unlock;camel;cannon-galleon;cannon-galleon-unlock;cavalier;cavalier-upgrade;cavalry-archer;chain-barding-armor;dry-dock;elite-cannon-galleon;elite-cannon-galleon-upgrade;galleon;galleon-upgrade;guilds;halberdier;halberdier-upgrade;hand-cannoneer;heavy-camel;heavy-camel-upgrade;heavy-cavalry-archer;heavy-cavalry-archer-upgrade;heavy-demolition-ship;heavy-demolition-ship-upgrade;heavy-scorpion;heavy-scorpion-upgrade;hoardings;husbandry;hussar;hussar-upgrade;keep;knight;light-cavalry;light-cavalry-upgrade;masonry;paladin;paladin-upgrade;parthian-tactics;plate-barding;ring-archer-armor;scale-barding-armor;scout;stable;thumb-ring;two-man-saw
Mayans, bloodlines;bombard-cannon;bombard-tower;bombard-tower-unlock;camel;cannon-galleon;cannon-galleon-unlock;cavalier;cavalier-upgrade;cavalry-archer;chain-barding-armor;champion;champion-upgrade;dry-dock;elite-cannon-galleon;elite-cannon-galleon-upgrade;gold-shaft-mining;hand-cannoneer;heavy-camel;heavy-camel-upgrade;heavy-cavalry-archer;heavy-cavalry-archer-upgrade;husbandry;hussar;hussar-upgrade;illumination;knight;light-cavalry;light-cavalry-upgrade;paladin;paladin-upgrade;parthian-tactics;plate-barding;redemption;scale-barding-armor;scout;siege-engineers;siege-onager;siege-onager-upgrade;stable
Incas, architecture;atonement;bloodlines;bombard-cannon;bombard-tower;bombard-tower-unlock;camel;cannon-galleon;cannon-galleon-unlock;cavalier;cavalier-upgrade;cavalry-archer;chain-barding-armor;elite-cannon-galleon;elite-cannon-galleon-upgrade;fervor;hand-cannoneer;heavy-camel;heavy-camel-upgrade;heavy-cavalry-archer;heavy-cavalry-archer-upgrade;heavy-demolition-ship;heavy-demolition-ship-upgrade;husbandry;hussar;hussar-upgrade;knight;light-cavalry;light-cavalry-upgrade;paladin;paladin-upgrade;parthian-tactics;plate-barding;scale-barding-armor;scout;siege-onager;siege-onager-upgrade;stable;two-man-saw
Britons, atonement;bloodlines;bombard-cannon;bombard-tower;bombard-tower-unlock;camel;crop-rotation;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;hand-cannoneer;heavy-camel;heavy-camel-upgrade;heresy;hussar;hussar-upgrade;paladin;paladin-upgrade;parthian-tactics;redemption;siege-onager;siege-onager-upgrade;siege-ram;siege-ram-upgrade;stone-shaft-mining;thumb-ring
Franks, arbalest;arbalest-upgrade;atonement;bloodlines;bombard-tower;bombard-tower-unlock;bracer;camel;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;guilds;heated-shot;heavy-camel;heavy-camel-upgrade;hussar;hussar-upgrade;keep;parthian-tactics;redemption;ring-archer-armor;shipwright;siege-onager;siege-onager-upgrade;siege-ram;siege-ram-upgrade;stone-shaft-mining;thumb-ring;two-man-saw
Celts, arbalest;arbalest-upgrade;architecture;atonement;block-printing;bloodlines;bombard-cannon;bombard-tower;bombard-tower-unlock;bracer;camel;crop-rotation;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;fast-fire-ship;fast-fire-ship-upgrade;hand-cannoneer;heavy-camel;heavy-camel-upgrade;illumination;parthian-tactics;plate-barding;redemption;squires;theocracy;thumb-ring;two-man-saw
Teutons, arbalest;arbalest-upgrade;architecture;bracer;camel;dry-dock;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;gold-shaft-mining;heavy-camel;heavy-camel-upgrade;heavy-cavalry-archer;heavy-cavalry-archer-upgrade;husbandry;hussar;hussar-upgrade;light-cavalry;light-cavalry-upgrade;parthian-tactics;shipwright;siege-ram;siege-ram-upgrade;thumb-ring
Goths, arbalest;arbalest-upgrade;atonement;block-printing;bombard-tower;bombard-tower-unlock;camel;cannon-galleon;cannon-galleon-unlock;dry-dock;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;fortified-wall;gold-shaft-mining;guard-tower;heavy-camel;heavy-camel-upgrade;heresy;hoardings;keep;paladin;paladin-upgrade;parthian-tactics;plate-barding;plate-mail-armor;redemption;siege-engineers;siege-onager;siege-onager-upgrade;siege-ram;siege-ram-upgrade;stone-gate;stone-wall;thumb-ring
Vikings, bloodlines;bombard-cannon;bombard-tower;bombard-tower-unlock;camel;demolition-ship;eagle-warrior;elite-eagle-warrior;elite-eagle-warrior-upgrade;fast-fire-ship;fast-fire-ship-upgrade;guilds;halberdier;halberdier-upgrade;hand-cannoneer;heavy-camel;heavy-camel-upgrade;heavy-cavalry-archer;heavy-cavalry-archer-upgrade;heavy-demolition-ship;heavy-demolition-ship-upgrade;herbal-medicine;husbandry;hussar;hussar-upgrade;illumination;keep;paladin;paladin-upgrade;parthian-tactics;plate-barding;redemption;sanctity;shipwright;siege-onager;siege-onager-upgrade;stone-shaft-mining;theocracy;thumb-ring
Huns, arbalest;arbalest-upgrade;architecture;block-printing;bombard-cannon;bombard-tower;bombard-tower-unlock;camel;cannon-galleon;cannon-galleon-unlock;champion;champion-upgrade;crop-rotation;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;fortified-wall;guard-tower;hand-cannoneer;heated-shot;heavy-camel;heavy-camel-upgrade;heavy-scorpion;heavy-scorpion-upgrade;herbal-medicine;hoardings;keep;onager;onager-upgrade;plate-mail-armor;redemption;ring-archer-armor;shipwright;siege-engineers;siege-onager;siege-onager-upgrade;stone-shaft-mining;theocracy
Magyars, architecture;atonement;bombard-cannon;bombard-tower;bombard-tower-unlock;camel;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;faith;fortified-wall;guilds;hand-cannoneer;heavy-camel;heavy-camel-upgrade;heavy-demolition-ship;heavy-demolition-ship-upgrade;keep;plate-mail-armor;redemption;siege-onager;siege-onager-upgrade;siege-ram;siege-ram-upgrade;squires;stone-shaft-mining
Slavs, arbalest;arbalest-upgrade;architecture;bombard-cannon;bombard-tower;bombard-tower-unlock;bracer;camel;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;fervor;guilds;hand-cannoneer;heated-shot;heavy-camel;heavy-camel-upgrade;heavy-demolition-ship;heavy-demolition-ship-upgrade;heresy;keep;paladin;paladin-upgrade;parthian-tactics;shipwright;stone-shaft-mining;thumb-ring
Saracens, architecture;bombard-tower;bombard-tower-unlock;cavalier;cavalier-upgrade;crop-rotation;eagle-warrior;elite-eagle-warrior;elite-eagle-warrior-upgrade;fast-fire-ship;fast-fire-ship-upgrade;guilds;halberdier;halberdier-upgrade;heated-shot;heavy-scorpion;heavy-scorpion-upgrade;paladin;paladin-upgrade;shipwright;stone-shaft-mining
Persians, arbalest;arbalest-upgrade;atonement;bombard-tower;bombard-tower-unlock;bracer;champion;champion-upgrade;eagle-warrior;elite-eagle-warrior;elite-eagle-warrior-upgrade;fortified-wall;heresy;illumination;keep;redemption;sanctity;shipwright;siege-engineers;siege-onager;siege-onager-upgrade;two-handed-swordsman;two-handed-swordsman-upgrade
Turks, arbalest;arbalest-upgrade;block-printing;crop-rotation;eagle-warrior;elite-eagle-warrior;elite-eagle-warrior-upgrade;elite-skirmisher;elite-skirmisher-upgrade;fast-fire-ship;fast-fire-ship-upgrade;halberdier;halberdier-upgrade;herbal-medicine;illumination;onager;onager-upgrade;paladin;paladin-upgrade;pikeman;pikeman-upgrade;siege-engineers;siege-onager;siege-onager-upgrade;stone-shaft-mining
Berbers, arbalest;arbalest-upgrade;architecture;block-printing;bombard-tower;bombard-tower-unlock;eagle-warrior;elite-eagle-warrior;elite-eagle-warrior-upgrade;halberdier;halberdier-upgrade;keep;paladin;paladin-upgrade;parthian-tactics;sanctity;sappers;siege-onager;siege-onager-upgrade;siege-ram;siege-ram-upgrade;two-man-saw
Malians, blast-furnace;bombard-tower;bombard-tower-unlock;bracer;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;galleon;galleon-upgrade;halberdier;halberdier-upgrade;heavy-scorpion;heavy-scorpion-upgrade;hussar;hussar-upgrade;illumination;paladin;paladin-upgrade;parthian-tactics;shipwright;siege-engineers;siege-ram;siege-ram-upgrade;two-man-saw
Ethiopians, block-printing;bloodlines;bombard-tower;bombard-tower-unlock;champion;champion-upgrade;crop-rotation;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;fast-fire-ship;fast-fire-ship-upgrade;hand-cannoneer;heavy-demolition-ship;heavy-demolition-ship-upgrade;hoardings;paladin;paladin-upgrade;parthian-tactics;plate-barding;redemption
Indians, arbalest;arbalest-upgrade;architecture;atonement;bombard-tower;bombard-tower-unlock;cavalier;cavalier-upgrade;crop-rotation;dry-dock;eagle-warrior;elite-eagle-warrior;elite-eagle-warrior-upgrade;fast-fire-ship;fast-fire-ship-upgrade;guilds;halberdier;halberdier-upgrade;heated-shot;heavy-demolition-ship;heavy-demolition-ship-upgrade;heavy-scorpion;heavy-scorpion-upgrade;heresy;keep;knight;paladin;paladin-upgrade;parthian-tactics;plate-mail-armor;sappers;shipwright;siege-onager;siege-onager-upgrade;siege-ram;siege-ram-upgrade
Chinese, bombard-cannon;camel;cannon-galleon;cannon-galleon-unlock;crop-rotation;eagle-warrior;elite-cannon-galleon;elite-cannon-galleon-upgrade;elite-eagle-warrior;elite-eagle-warrior-upgrade;fast-fire-ship;fast-fire-ship-upgrade;guilds;hand-cannoneer;heavy-camel;heavy-camel-upgrade;heresy;hoardings;hussar;hussar-upgrade;mangonel;onager;onager-upgrade;paladin;paladin-upgrade;parthian-tactics;redemption;siege-engineers;siege-onager;siege-onager-upgrade
Japanese, architecture;bombard-cannon;bombard-tower;bombard-tower-unlock;camel;crop-rotation;eagle-warrior;elite-eagle-warrior;elite-eagle-warrior-upgrade;heated-shot;heavy-camel;heavy-camel-upgrade;heavy-demolition-ship;heavy-demolition-ship-upgrade;heresy;hussar;hussar-upgrade;paladin;paladin-upgrade;plate-barding;sappers;siege-onager;siege-onager-upgrade;siege-ram;siege-ram-upgrade;stone-shaft-mining
